,jk,kalimat,label,naon,propn,subyek,takso
0,6,algorithm and object oriented programming methods,0,0.8333333333333334,1,0,0
1,51,mata kuliah algoritma dan metode object oriented programming memuat konsep konsep dasar dalam membuat algoritma dan pemrograman yang berorientasi object dengan menggunakan bahasa c    fitur utamanya adalah element dasar dalam c    input output stream  struktur data  control structures  fungsi  algoritma pengurutan data  algoritma pencarian  file stream  inheritance  polymorphism dan generic programming ,1,0.6862745098039216,1,1,1
2,9,cp    menggunakan sintaks dan fungsi di dalam bahasa c  ,2,0.5555555555555556,1,0,1
3,52,   pengertian algoritma dan pemrograman  perbedaan antara pop and oop  elemen   elemen dasar c   input and output stream    struktur kontrol dan operator    data struktur dan fungsi    algoritma pengurutan dan pencarian data    operasi file    object oriented programming  class and model objek    constructors and destructor  nesting object and friend  operator overloading    inheritance    polymorphism     generic programming,3,0.7692307692307693,1,0,0
4,2,basis data,0,1.0,0,0,0
5,86,mata kuliah ini menjelaskan tentang konsep dan definisi dari basis data  mulai dari komponen penyusun basis data  arsitektur dan perancangan basis data dengan menggunakan pendekatan model relasional   entity relationship diagram   selain itu dibahas tentang konsep mapping antara model konseptual kedalam model fisik basis data  selanjutnya dikenalkan konsep normalisasi basis data sebagai bagian dari metode pengujian kualitas rancangan basis data  setelah itu dipelajari konsep pengolahan basis data dengan pendekatan notasi aljabar relasional yang diperkuat dengan pengenalan konsep dan impelementasi penggunaan bahasa query  sql  melalui ddl dan dml ,1,0.6395348837209303,1,1,1
6,24,konsep basis data   objek basis data relasional   erd   mapping   database designer   normalisasi   aljabar relasional   sql   perancangan basis data dalam rdbms   pembuatan aplikasi dengan rdbms,3,0.9166666666666666,1,0,0
7,6,data center management menggunakan docker container,0,0.8333333333333334,1,0,1
8,44,process isolation diperlukan dalam rangka memberikan kontrol akses yang lebih terjamin  dibandingkan dengan penggunaan vm yang membutuhkan resource yang lebih  penggunaan linux container dapat menghemat resource  dan mempersingkat waktu pembuatan  provisioning   mata kuliah ini akan membahas tentang pemanfaatan linux container dalam pengelolaan data center,1,0.5227272727272727,1,1,0
9,7,   siswa mampu memahami cara kerja docker container,2,0.7142857142857143,1,1,0
10,6,   instalasi docker   docker compose   pengelolaan memory,3,1.0,1,0,0
11,3,interaksi manusia komputer,0,1.0,0,0,0
12,71,kuliah ini memberikan dasar dasar yang dibutuhkan untuk mendesain interaksi manusia komputer  melakukan perancangan  pengembangan dan evaluasi rancangan desain interaksi yang berorientasi pada pengguna  mata kuliah interaksi manusia dan komputer ini terdiri dari    topik bahasan  dimana pada setiap topik tersebut anda akan belajar mandiri mengenai desain interaksi manusia dan komputer  pada mata kuliah ini  anda akan mengerjakan kuis pada beberapa sesi dan penugasan baik itu merupakan tugas individu maupun tugas kelompok ,1,0.4647887323943662,0,1,0
13,21,setelah mengikuti kuliah ini siswa dapat menjelaskan dan menerapkan prinsip prinsip perancangan dan usability dalam pengembangan desain interaksi  suatu perangkat lunak ,2,0.47619047619047616,0,1,1
14,52,pokok bahasan perkuliahan terdiri dari            konsep dalam desain interaksi            pemahaman dan konseptualisasi interaksi            aspek kognitif            perancangan untuk kolaborasi   komunikasi            pengaruh antarmuka            proses dalam interaksi desain            pembuatan prototip            perancangan interaksi yang berorientasi pada user            pengenalan tentang evaluasi dan ragam teknik untuk usability testing            studi kasus perancangan antarmuka dan interaksinya dalam pengembangan perangkat lunak ,3,0.6923076923076923,1,1,0
15,2,jaringan komputer,0,1.0,0,0,0
16,95,mata kuliah jaringan komputer merupakan mata kuliah dasar yang mempelajari konsep konsep serta teknologi jaringan komputer  materi kuliah meliputi  teknologi dan topologi jaringan komputer  osi model  tcp ip model  protokol routing   local area network  lan   wide area network wan   wireless network  protokol protokol di layer aplikasi  dan beberapa topik terkini tentang jaringan komputer   mata kuliah jaringan komputer menitik beratkan pada pembahasan layer    network layer  sampai dengan layer    application layer  dari model osi  hal ini perlu disampaikan terkait adanya overlap dengan mata kuliah komunikasi data yang lebih mendalami layer    network layer  sampai dengan layer    physical layer  ,1,0.7263157894736842,1,1,1
17,131,cp     mampu menjelaskan dan menggambarkan konsep konsep jaringan komputer  cp     mampu menjelaskan pemanfaatan teknologi jarngan komputer pada kehidupan sehari hari  cp     mampu menjelaskan fungsi ketujuh layer model referensi osi dari layer fisik sampai layer aplikasi  cp     mampu menjelaskan protokol protokol jaringan yang digunakan dalam ketujuh layer osi serta algoritmanya  cp     mampu merancang jaringan komputer lokal  local area network  lan  baik dari sisi alokasi nomor ip  subnetting   maupun prinsip instalasi jaringannya  cp     mampu menerapkan algoritma yang dipakai dalam routing statik maupun dinamik sederhana  cp     mampu menjelaskan prinsip kerja protokol protokol pada layer aplikasi seperti  dns  http  ftp  dsb  cp     mampu menjelaskan teknologi yang dipergunakan pada jaringan wide area network cp     mengenal konsep dan dasar dasar teknologi sistem terdistribusi dan cloud computing  cp     mahasiswa memiliki soft skill yang kuat dan lebih percaya diri ,2,0.5877862595419847,1,1,1
18,48,pengantar jaringan komputer  model referensi osi dan tcp ip    protokol dan fungsionalitas layer aplikasi  protokol layer transport   karakteristik protokol layer network   pengalamatan ip  subnetting  karakeristik layer datalink  protokol routing   dynamic routing protocol    wide area network     wireless local area network  wlan    virtual local area network  vlan   pengantar cloud computing,3,0.9375,1,0,0
19,2,machine learning,0,1.0,1,0,0
20,108,memahami keterhubungan  relationships  dan ketergantungan  depedencies  dalam suatu koleksi data adalah suatu aspek yang sangat penting dalam menganalisis data tersebut  ketika tidak ada pendekatan pemodelan yang mudah untuk melakukan hal tersebut  maka pendekatan cerdas berbasis data  data driven method   dikenal juga dengan nama machine learning  menjadi solusi alternatif  dengan kata lain  machine learning adalah metode analisis data yang dapat belajar dari data  sehingga menjadi cerdas  cerdas dalam artian dapat melakukan generalisasi untuk data baru  saat ini  machine learning telah menjadi perangkat analisis data yang sangat penting  hal in dapat dilihat bahwa topik ini telah menjadi bidang kajian pada beberapa industri besar  seperti google  nbsp microsoft  nbsp yahoo  dll ,1,0.42592592592592593,1,0,1
21,5,manajemen keamanan informasi dan internet,0,0.8,0,0,0
22,105,sejalan dengan besarnya manfaat yang diberikan oleh internet kepada masyarakat dan dunia usaha  meningkat pula risiko yang mendampinginya  paradoks ini merupakan akibat dari semakin tingginya nilai intrinsik dari dunia maya  hal ini berarti bahwa setiap organisasi atau perusahaan yang memanfaatkan internet untuk meningkatkan kinerjanya pada saat yang sama harus perduli dengan isu keamanan yang menyertainya  dengan mengikuti mata kuliah ini  peserta didik akan dibekali dengan pengetahuan isu keamanan informasi di internet dari berbagai dimensi dan spektrum yang ada  disamping itu  peserta didik akan memiliki kemampuan dalam mendeteksi potensi kerawanan apa yang ada dalam sebuah sistem teknologi informasi berbasis internet dan bagaimana cara mencegah serta menanggulanginya ,1,0.4095238095238095,0,1,1
23,23,fenomena keamanan informasi dan internet   hackers dan kerawanan sistem   serangan dan strategi pengamanan   penyusunan kebijakan dan prosedur keamanan   transaksi elektronik dan bukti digital,3,0.6956521739130435,0,0,0
24,5,manajemen organisasi teknologi informasi korporasi,0,1.0,0,0,0
25,82,dalam konteks perusahaan  pada akhirnya sumber daya manusialah yang akan menjalankan sistem dan teknologi informasi untuk berbagai keperluan  mata kuliah ini bertujuan untuk membekali peserta didik dengan pengetahuan dan kemampuan untuk merancang serta mengembangkan organisasi beserta kulturnya agar tercipta lingkungan yang kondusif dalam mengimplementasikan teknologi informasi dan komunikasi  selain teori dan konsep organisasi  dalam mata kuliah ini dibahas pula berbagai aspek terkait dengan tata kelola  governance   manajemen  dan aktivitas pendukung organisasi lainnya   baik diperuntukkan bagi organisasi kecil maupun sebuah korporasi besar  konglomerat  ,1,0.43902439024390244,0,1,1
26,40,perspektif utama sistem organisasi   pengelolaan teknologi informasi   membudayakan literasi informasi   sistem sentralisasi dan desentralisasi organisasi   tren struktur organisasi abad      perencanaan dan pengaturan   pengadaan dan penerapan   integrasi dan shared services organisation   prinsip it governance   manajemen perubahan   standar iso         studi kasus lapangan,3,0.85,1,0,0
27,4,manajemen proyek perangkat lunak,0,0.75,0,0,0
28,22,melalui mata kuliah ini mahasiswa mampu memahami teknik manajemen proyek dan mengelola pengembangan proyek ti dengan menerapkan konsep pengembangan proyek perangkat lunak  ,1,0.5909090909090909,0,1,1
29,18,mahasiswa mampu memahami teknik manajemen proyek dan mengelola pengembangan proyek ti dengan menerapkan konsep pengembangan proyek perangkat lunak  ,2,0.6111111111111112,1,1,1
30,8,pembuatan proposal penanganan sdm penanganan sumber daya keuangan,3,1.0,1,0,0
31,3,pengantar manajemen bisnis,0,1.0,0,0,0
32,79,mata kuliah ini mempelajari tentang dasar dasar manajemen dan bisnis yang diperlukan dalam mengelola dinamika organisasi  dinamika organisasi berarti adanya penghargaan dan tantangan bagi para individu yang mengelola organisasi tersebut  mata kuliah ini menguraikan dasar dasar manajemen dan organisasi  hambatan dan tantangan bagi bisnis global  pemahaman lingkungan bisnis  etika dan tanggung jawab dan sosial serta fungsi produksi  pemasaran dan keuangan  mata kuliah ini memberikan pengetahuan dasar bagi mahasiswa yang berkaitan dengan dunia manajemen dan bagaimana pengelolaan bisnis pada abad    ,1,0.5316455696202531,1,1,1
33,116,cp     menguraikan fungsi dan peran manajemen  menjalankan dan mengelola manajemen dalam lingkungan global  membuat keputusan  lingkungan bisnis  kondisi ekonomi  tanggung jawab sosial dalam bisnis dan bentuk dasar dari kepemilikan bisnis  cp     menjelaskan tantangan bagi manajer global  proses pengambilan keputusan  tujuan dan perencanaan  strategi bersaing  mekanisme dan struktur organisasi  proses produksi  pemasaran dan keuangan  cp     menganalisis proses merumuskan tujuan dan perencanaan  proses manajemen strategik  perancangan organisasi yang modern  tempat kerja yang berubah  pengembangan kelompok  dan isu isu terbaru mengenai motivasi  kepemimpinan  tipe tipe pengendalian  bauran pemasaran  dan manajemen keuangan  cp     menerapkan proses inovasi  keanekaragaman tempat kerja  tim yang efektif dan komunikasi antar pribadi  teori motivasi dan kepemimpinan yang modern  alat untuk mengukur kinerja organisasi  dan perencanaan keuangan ,2,0.646551724137931,1,0,1
34,59,   dasar dasar manajemen dan organisasi dalam manajemen global    dasar dasar perencanaan dan manajemen strategik    dasar dasar pengoordinasian dan mengelola perubahan    kepemimpinan dan motivasi    komunikasi dan dasar dasar pengendalian    pemahaman bagaimana ekonomi memengaruhi bisnis dan tanggung jawab perilaku secara sosial    bagaimana membentuk suatu bisnis dan kewirausahaan memulai suatu usaha kecil    manajemen produksi dan operasi    pemasaran  membantu pembeli membeli     manajemen keuangan,3,0.576271186440678,0,0,1
35,3,perancangan perangkat lunak,0,0.6666666666666666,0,0,0
36,65,pada mata kuliah ini  mahasiswa memahami prinsip prinsip perancangan perangkat lunak  mampu mengurai kompleksitas pada domain permasalahan  mampu memilih pendekatan yang sesuai dengan domain permasalahan   mampu memilih arsitektur yang sesuai dengan perangkat lunak yang akan dibangun  mampu menggunakan pola pola perancangan pada suatu permasalahan perancangan  mahasiswa bisa membangun model perancangan perangkat lunak yang mampu mengantisipasi perubahan sesuai dengan studi kasus yang diberikan menggunakan pendekatan tertentu ,1,0.4307692307692308,0,1,1
37,7,a         mahasiswa mampu menjelaskan prinsip prinsip perancangan ,2,0.7142857142857143,1,1,1
38,101,prinsip prinsip perancangan perangkat lunak  abstraksi  kopling dan kohesi  dekomposisi dan modularisasi  enkapsulasi  pemisahan antara antarmuka dan implementasi  sufficiency  completeness  dan primitiveness  serta separation of concerns  isu isu kunci perancangan perangkat lunak  konkurensi  penanganan event  persistensi data  penanganan error  toleransi terhadap kesalahan  keamanan  dll  tipe tipe perangkat lunak  pendekatan perancangan perangkat lunak  top down  bottom up  function oriented  data structure centered  object oriented  dan component based  konsep konsep arsitektur perangkat lunak  client server  three tier  model view controller  dll  pola pola perancangan  beberapa pola sesuai dengan permasalahan seperti creational patterns  structural patterns  dan behavioral patterns  penggunaan kembali kerangka kerja  perancangan antarmuka ,3,0.7722772277227723,1,0,0
39,4,perencanaan strategis sistem informasi,0,0.75,0,0,0
40,68,langkah pertama yang harus dilakukan oleh organisasi semacam perusahaan untuk memastikan teknologi informasi memberikan manfaat adalah dengan melakukan perencanaan strategis sistem dan teknologi informasinya  dokumen formal ini akan menjadi acuan seluruh pemangku kepentingan dalam membangun  merancang  menerapkan  mengawasi  maupun menilai drsistem dan teknologi informasi  mata kuliah ini mengajarkan langkah langkah metodologis yang harus dilakukan dalam rangka pengembangan dokumen rencana strategis sistem dan teknologi informasi atau  it master plan  ,1,0.45588235294117646,1,1,1
41,13, menjelaskan akan penting dan kritikalnya keberadaan dokumen rencana strategis sistem dan teknologi informasi ,2,0.46153846153846156,0,0,1
42,66,  pemahaman mengenai rencana strategis sistem informasi    evolusi perkembangan sistem dan teknologi informasi dalam organisasi    pendifinisian kebutuhan dan strategi bisnis    pengembangan strategi sistem dan teknologi informasi    analisa strategi  pemahaman situasi termutakhir    analisa strategi  penentuan target masa depan    tata kelola portofolio manajemen aplikasi    manajemen strategi sistem dan teknologi informasi    eksplorasi variasi pendekatan sistem dan teknologi informasi      pengelolaan ketersediaan teknologi informasi     manajemen informasi dan pengetahuan     perencanaan strategis ke depan,3,0.8181818181818182,0,0,0
43,2,research statistic,0,0.5,1,0,0
44,20,mata kuliah research statistic membekali mahasiswa kemampuan untuk menganalisis data baik data hasil penelitian ataupun data lainnya  misalnya nilai siswa ,1,0.65,1,1,1
45,7,setelah mengikuti perkuliahan research statistic  mahasiswa diharapkan ,2,0.5714285714285714,1,1,0
46,35,mata kuliah ini memuat materi statistik dan statistika pendidikan  data statistik  distribusi frekuesni  ukuran pemusatan  ukuran letak dan ukuran penyebaran  distribusi sampling dan teori menaksir  hipotesis  uji rata rata  uji t  regresi linier  dan anava ,3,0.7142857142857143,1,1,0
47,5,sistem dan teknologi informasi pendidikan,0,0.8,0,0,0
48,90,peranan teknologi informasi bagi perguruan tinggi sangatlah strategis dan kritikal  keberadaannya tidaklah sekedar memberikan manfaat terkait dengan efisiensi  transparansi  efektivitas  maupun pengendalian  namun lebih jauh lagi berupa kemungkinan bagi kampus untuk bermetamorfosa atau bertransformasi menjadi sebuah institusi moderen dengan paradigma baru  mata kuliah ini berisi konsep dan aplikasi terkait dengan perencanaan  perancangan  penerapan  pengembangan  dan penilaian teknologi informasi dalam konteks kebutuhan perguruan tinggi  para peserta didik yang mengikuti mata kuliah ini diharapkan memiliki kemampuan dalam mendesain dan mengelola penerapan teknologi informasi untuk meningkatkan kinerja kampus dalam menjalankan tri darma nya ,1,0.4777777777777778,0,1,1
49,11,   menjelaskan secara detail peranan dan fungsi strategis tik bagi perguruan tinggi,2,0.45454545454545453,0,0,1
50,86,terdapat     empat belas  pokok bahasan yang harus dikuasai secara penuh oleh peserta didik  masing masing adalah sebagai berikut      peranan tik dalam dunia pendidikan     konteks tik dalam pendidikan tinggi     kerangka arsitektur tik dalam kampus     pengukuran kinerja tik perguruan tinggi     manajemen tata kelola tik di perguruan tinggi     menanamkan budaya tik di kampus     tik dan paradigma pendidikan abad xxi     fenomena open courseware     mengadopsi pergeseran paradigma pendidikan      kekayaan konten di dunia maya      konsep open education dan tantangannya      menggali manfaat open education      instrumen evaluasi adopsi teknologi informasi      strategi implementasi e learning,3,0.6744186046511628,1,0,1
51,5,sistem keamanan informasi dan internet,0,0.8,0,0,0
52,79,mata kuliah manajemen keamanan informasi dan internet  ini diperuntukkan bagi mereka yang ingin mendalami manajemen keamanan informasi dan internet  internet telah menjadi bagian tak terpisahkan dari masyarakat moderen dewasa ini  bahkan bagi generasi yang lahir setelah tahun       internet telah membentuk sebuah dunia tersendiri seperti layaknya bumi di tempat manusia berada  dalam dunia maya ini  melalui beraneka ragam peralatan teknologi informasi dan komunikasi  para individu maupun kelompok kelompok masyarakat saling berinteraksi  bertukar pikiran  dan berkolaborasi untuk melakukan sejumlah aktivitas kehidupan ,1,0.46835443037974683,1,1,1
53,2,capaian pembelajaran,2,1.0,0,0,0
54,2,sistem operasi,0,1.0,0,0,0
55,1, name ,1,1.0,1,0,0
56,32,    mahasiswa mampu memahamikonsep dasar sistem operasi     mahasiswa mampu memahami komponendan teknologi sistem operasi     mahasiswa mampu menjelaskan fungsi sistem operasi     mahasiswa mampu mengembangkan pengetahuan     mahasiswa dapat mengkonfigurasi dan mengelola berbagai macam sistem operasi,2,0.5625,1,1,1
57,80,sistem komputer  pengertian dan fungsisistemoperasikomputer  konsep konsepsistemoperasi  struktursistem operasi  layanan  kegiatan  dan jenissistemoperasi  sejarahperkembangansistemoperasi manajemen proses model proses  ststus proses  implementasisistem  komunikasiantar proses  proses dalamsistemterdistribusi  teknik penjadwalan proses  preemptive scheduling  non preemtive scheduling  teknikpenjadwalansatu tingkat  teknikpenjadwalanmultitingkat  metodeevaluasipenjadwalan  manajemen memori  pengertiandan jenismemori  alamatmemori  isi memori  manajemenmemoritanpa swapping atau paging  multiprogramming denganpartisistatis  swapping  analisissistem swap  virtual memori  algoritmapenempatan page  desainsistem paging  implementasisegmentasi  manajemen file  file  directory implementasisistem file  pengamanan file  user authentication   installasi  konfigurasi dan mengelola sistem operasi  windows  linux  javavirtual machine ,3,0.8125,1,0,1
58,3,dasar pemrograman web    ,0,1.0,0,0,0
59,3,dasar pemrograman web    ,1,1.0,0,0,0
60,3,css javascript html  ,3,1.0,1,0,0
61,3,teknologi antar jaringan,0,0.6666666666666666,0,0,0
62,3,taj mengajarkan ospf,1,0.6666666666666666,1,0,0
63,5,mahasiswa mampu meraih nilai a,2,0.6,1,1,0
